cycle;count;loss_training;loss_validation;cost_training;cost_validation;accuracy_training;accuracy_validation;accuracy_test
1;1;11.53961;11.33516;11.47142;11.40207;0.10082;0.11000;0.10430
1;450;9.19993;9.13525;9.04668;9.00907;0.32004;0.33300;0.31400
1;900;7.31535;7.27358;7.18191;7.17530;0.38573;0.41300;0.38640
1;1350;5.20369;5.20869;5.12527;5.11460;0.42355;0.43700;0.41960
1;1800;3.42246;3.61024;3.47010;3.48917;0.45214;0.45600;0.43870
1;2250;2.45187;2.52893;2.45523;2.48810;0.45771;0.46200;0.43800
1;2700;1.95369;2.07346;1.95901;2.00716;0.48722;0.47000;0.47150
1;3150;1.74637;1.84033;1.74211;1.79356;0.50190;0.48000;0.47910
1;3600;1.68547;1.75837;1.61271;1.67733;0.53261;0.49600;0.50240
1;4050;1.60218;1.73419;1.56067;1.63017;0.54057;0.51000;0.50990
1;4500;1.56274;1.69795;1.52567;1.60699;0.55586;0.51200;0.51380
2;4950;1.58144;1.71205;1.52640;1.61828;0.55147;0.50400;0.51010
2;5400;1.55743;1.68190;1.53689;1.63662;0.53882;0.50000;0.50530
2;5850;1.60724;1.69091;1.58134;1.64038;0.51394;0.49100;0.47900
2;6300;1.48691;1.69205;1.56592;1.64777;0.51918;0.47700;0.48680
2;6750;1.58319;1.64067;1.57101;1.63391;0.51637;0.49100;0.48380
2;7200;1.54072;1.57768;1.52533;1.58195;0.53586;0.50200;0.50370
2;7650;1.53453;1.66210;1.49768;1.59455;0.54398;0.50700;0.50730
2;8100;1.45545;1.59867;1.45321;1.52799;0.56004;0.52700;0.51880
2;8550;1.44507;1.57116;1.42301;1.51725;0.57041;0.52800;0.52730
2;9000;1.40077;1.56905;1.39472;1.50013;0.58345;0.53200;0.53240
