cycle;count;loss_training;loss_validation;cost_training;cost_validation;accuracy_training;accuracy_validation;accuracy_test
1;1;3.18825;3.17143;3.17187;3.17275;0.09943;0.10200;0.09970
1;450;3.09657;3.07855;3.07871;3.07424;0.11112;0.11100;0.10880
1;900;2.86671;2.84388;2.81337;2.79909;0.19592;0.20900;0.19880
1;1350;2.48950;2.34940;2.34077;2.33802;0.25833;0.27500;0.25500
1;1800;2.27249;2.09407;2.14532;2.12985;0.28139;0.28900;0.27880
1;2250;2.10298;2.04735;2.02566;2.03882;0.29300;0.29000;0.29070
1;2700;2.05878;1.96083;1.90955;1.93904;0.33922;0.35500;0.32940
1;3150;2.02594;1.94505;1.85865;1.89494;0.37024;0.37400;0.36150
1;3600;1.87377;1.91073;1.83099;1.85355;0.39135;0.39400;0.37490
1;4050;1.87043;1.86798;1.78839;1.82177;0.40086;0.40100;0.38290
1;4500;1.85218;1.87490;1.74633;1.79541;0.41978;0.41500;0.39750
2;4950;1.81184;1.90605;1.77186;1.82780;0.40957;0.41500;0.38760
2;5400;1.97064;1.96813;1.83601;1.90434;0.39424;0.37900;0.37920
2;5850;1.84561;1.83705;1.80141;1.82828;0.40622;0.39500;0.38300
2;6300;2.03689;1.94658;1.86338;1.89208;0.39382;0.39800;0.37540
2;6750;1.98183;1.91070;1.86167;1.90387;0.37988;0.37800;0.36160
2;7200;2.00570;1.85769;1.82779;1.86551;0.39855;0.40800;0.37290
2;7650;1.92820;1.88296;1.78470;1.82425;0.42798;0.41500;0.40250
2;8100;1.75397;1.80808;1.70843;1.77834;0.45657;0.43800;0.42810
2;8550;1.66794;1.79918;1.66271;1.72215;0.47263;0.45200;0.44420
2;9000;1.69551;1.74131;1.62209;1.71103;0.49035;0.47100;0.45180
