cycle;count;loss_training;loss_validation;cost_training;cost_validation;accuracy_training;accuracy_validation;accuracy_test
1;1;2.30259;2.30259;2.30259;2.30259;0.09910;0.09100;0.09630
1;450;2.30291;2.30272;2.30260;2.30275;0.10043;0.07900;0.10000
1;900;2.30234;2.30349;2.30261;2.30333;0.10027;0.08700;0.10000
1;1350;2.30244;2.30284;2.30265;2.30356;0.10004;0.09800;0.10000
1;1800;2.30066;2.30067;2.30267;2.30313;0.10045;0.07800;0.10000
1;2250;2.30118;2.30185;2.30264;2.30339;0.10045;0.07800;0.10000
1;2700;2.30163;2.30673;2.30275;2.30346;0.10004;0.09800;0.10000
1;3150;2.30340;2.30335;2.30262;2.30295;0.09996;0.10200;0.10000
1;3600;2.30277;2.30396;2.30264;2.30310;0.09973;0.11300;0.10000
1;4050;2.30348;2.30178;2.30262;2.30336;0.10045;0.07800;0.10000
1;4500;2.30271;2.30217;2.30259;2.30307;0.10045;0.07800;0.10000
2;4950;2.30290;2.30250;2.30259;2.30288;0.10045;0.07800;0.10000
2;5400;2.30282;2.30276;2.30261;2.30241;0.09976;0.11200;0.10000
2;5850;2.30171;2.30163;2.30260;2.30321;0.09996;0.10200;0.10000
2;6300;2.30160;2.30390;2.30267;2.30327;0.10043;0.07900;0.10000
2;6750;2.30349;2.30405;2.30269;2.30409;0.10027;0.08700;0.10000
2;7200;2.30259;2.30292;2.30263;2.30316;0.10027;0.08700;0.10000
2;7650;2.30038;2.30261;2.30264;2.30275;0.09976;0.11200;0.10000
2;8100;2.30312;2.30313;2.30262;2.30260;0.10043;0.07900;0.10000
2;8550;2.30314;2.30297;2.30262;2.30365;0.10027;0.08700;0.10000
2;9000;2.30280;2.30260;2.30258;2.30297;0.10045;0.07800;0.10000
