cycle;count;loss_training;loss_validation;cost_training;cost_validation;accuracy_training;accuracy_validation;accuracy_test
1;1;3.55219;3.49737;3.45923;3.45197;0.09212;0.09400;0.09450
1;450;2.98083;2.87675;2.91171;2.91257;0.26796;0.27800;0.25860
1;900;2.62298;2.51408;2.48510;2.50426;0.34271;0.33800;0.33390
1;1350;2.40965;2.16121;2.17166;2.20083;0.38194;0.38900;0.38270
1;1800;2.15093;2.05639;1.96511;1.96268;0.41637;0.42900;0.40740
1;2250;1.95978;1.97554;1.82059;1.85024;0.43288;0.42300;0.42280
1;2700;1.89123;1.88441;1.72912;1.77233;0.44929;0.44600;0.43260
1;3150;1.75016;1.81946;1.66298;1.73103;0.47147;0.44300;0.44860
1;3600;1.77280;1.76560;1.59875;1.69102;0.49235;0.46500;0.46130
1;4050;1.71468;1.64842;1.51613;1.60847;0.51435;0.48700;0.47950
1;4500;1.56356;1.60433;1.42965;1.53893;0.54639;0.48700;0.49460
2;4950;1.41637;1.66595;1.47311;1.56680;0.52849;0.48900;0.47360
2;5400;1.75871;1.66411;1.57150;1.66827;0.49978;0.47700;0.46210
2;5850;1.67748;1.68404;1.61779;1.69775;0.48598;0.44400;0.45430
2;6300;1.92037;1.79457;1.67333;1.69922;0.47637;0.47400;0.45500
2;6750;1.84400;1.77520;1.68122;1.74128;0.47614;0.45100;0.45230
2;7200;1.91309;1.60383;1.62872;1.66265;0.49161;0.46200;0.46170
2;7650;1.78478;1.77746;1.59742;1.67908;0.50012;0.46900;0.46790
2;8100;1.56798;1.75471;1.50394;1.58464;0.53171;0.50300;0.48480
2;8550;1.39994;1.64404;1.42961;1.52928;0.55445;0.51500;0.49360
2;9000;1.41245;1.55458;1.34722;1.49043;0.58529;0.52300;0.51600
