cycle;count;loss_training;loss_validation;cost_training;cost_validation;accuracy_training;accuracy_validation;accuracy_test
1;1;2.30337;2.30337;2.30337;2.30337;0.09473;0.10300;0.09710
1;450;2.30362;2.30343;2.30330;2.30346;0.10043;0.07900;0.10000
1;900;2.30288;2.30403;2.30315;2.30387;0.10027;0.08700;0.10000
1;1350;2.30278;2.30319;2.30299;2.30391;0.10004;0.09800;0.10000
1;1800;2.30084;2.30086;2.30285;2.30331;0.10045;0.07800;0.10000
1;2250;2.30127;2.30193;2.30272;2.30347;0.10045;0.07800;0.10000
1;2700;2.30167;2.30677;2.30279;2.30350;0.10004;0.09800;0.10000
1;3150;2.30340;2.30335;2.30262;2.30295;0.09996;0.10200;0.10000
1;3600;2.29191;2.28604;2.27854;2.27834;0.15592;0.15500;0.15940
1;4050;2.18890;2.16440;2.11754;2.11548;0.18424;0.20000;0.18340
1;4500;2.16506;2.14675;2.09414;2.09463;0.18945;0.20600;0.18360
2;4950;2.16474;2.10212;2.05795;2.06141;0.19535;0.22400;0.19620
2;5400;2.07361;2.03506;2.00460;2.01266;0.22829;0.24400;0.22810
2;5850;1.99911;1.87705;1.86747;1.86060;0.31673;0.31700;0.31680
2;6300;1.84527;1.89270;1.78987;1.79918;0.36220;0.36200;0.35760
2;6750;1.83624;1.72739;1.69644;1.71866;0.41769;0.40200;0.40720
2;7200;1.71480;1.61056;1.64593;1.65652;0.45314;0.43600;0.44410
2;7650;1.65646;1.70244;1.56541;1.61348;0.48614;0.48500;0.47010
2;8100;1.59285;1.60366;1.51981;1.55308;0.50941;0.50500;0.48600
2;8550;1.58304;1.62576;1.48828;1.53940;0.52224;0.50200;0.49230
2;9000;1.51843;1.61906;1.46326;1.52222;0.53422;0.50600;0.50290
