cycle;count;loss_training;loss_validation;cost_training;cost_validation;accuracy_training;accuracy_validation;accuracy_test
1;1;2.76510;2.65876;2.59658;2.60036;0.09398;0.10400;0.09940
1;450;1.80802;1.76296;1.74250;1.76378;0.39992;0.37500;0.38830
1;900;1.70489;1.61574;1.55906;1.61233;0.45537;0.44600;0.43400
1;1350;1.60434;1.52044;1.44390;1.51194;0.49359;0.47300;0.47230
1;1800;1.33329;1.48268;1.39424;1.47139;0.50906;0.48000;0.48120
1;2250;1.40380;1.46736;1.35904;1.44578;0.51943;0.48900;0.48390
1;2700;1.37479;1.42615;1.29206;1.38904;0.54790;0.50500;0.50250
1;3150;1.32127;1.42793;1.23775;1.36763;0.56469;0.50400;0.51140
1;3600;1.36225;1.39096;1.19936;1.35789;0.57633;0.51400;0.51590
1;4050;1.27907;1.40670;1.16840;1.34780;0.59012;0.51100;0.52040
1;4500;1.24560;1.38486;1.14714;1.33628;0.59841;0.52500;0.51900
2;4950;1.24109;1.39008;1.14896;1.35732;0.59806;0.51400;0.51390
2;5400;1.22220;1.41867;1.15551;1.35599;0.59220;0.52100;0.51500
