cycle;count;loss_training;loss_validation;cost_training;cost_validation;accuracy_training;accuracy_validation;accuracy_test
1;1;3.31573;3.20939;3.14721;3.15100;0.09398;0.10400;0.09940
1;450;2.33227;2.28112;2.25178;2.27032;0.40204;0.38100;0.39290
1;900;2.13090;2.02342;1.98140;2.02214;0.45824;0.44200;0.43690
1;1350;1.92638;1.79394;1.78021;1.82097;0.48553;0.48000;0.46440
1;1800;1.57717;1.71505;1.66110;1.71470;0.49749;0.47100;0.47870
1;2250;1.63659;1.69480;1.61228;1.65809;0.49573;0.48400;0.47050
1;2700;1.63233;1.62859;1.54060;1.60083;0.51771;0.49800;0.48430
1;3150;1.59603;1.60653;1.47696;1.55831;0.53794;0.50900;0.49870
1;3600;1.61051;1.60290;1.41251;1.50322;0.55720;0.51600;0.50690
1;4050;1.47854;1.52464;1.35430;1.45981;0.57500;0.53100;0.52320
1;4500;1.39773;1.51600;1.28998;1.42292;0.60039;0.55700;0.52960
2;4950;1.43919;1.54828;1.31745;1.46906;0.58818;0.53300;0.51570
2;5400;1.51244;1.55502;1.37504;1.48492;0.56767;0.52500;0.50860
2;5850;1.65089;1.70529;1.48655;1.57951;0.52955;0.49000;0.48320
2;6300;1.57125;1.70704;1.48538;1.56358;0.53208;0.49300;0.49070
2;6750;1.67834;1.59960;1.50745;1.57990;0.52900;0.52600;0.49290
2;7200;1.58449;1.58511;1.47777;1.54497;0.54178;0.52100;0.49880
2;7650;1.65101;1.57719;1.42910;1.53090;0.55631;0.53000;0.51080
2;8100;1.48163;1.51806;1.37865;1.47541;0.56996;0.52600;0.51370
2;8550;1.46093;1.47652;1.31078;1.44867;0.59537;0.52900;0.52650
2;9000;1.36766;1.45487;1.24348;1.41161;0.62227;0.55100;0.53950
